fcltynm,mt10id,mt13cnt,fcltychartr,opende,seatscale,telno,relateurl,adres,la,lo,restaurant,cafe,store,nolibang,suyu,parkbarrier,restbarrier,runwbarrier,elevbarrier,parkinglot,mt13s
부평아트센터,FC000216,2,공공(문예회관),2010,1191,032-500-2000,http://www.bpart.kr/,인천광역시 부평구 아트센터로 166 (십정동),37.4819229,126.7049151,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"
            "
사랑새아트홀,FC003932,1,민간(대학로 외), ,0, , ,경상남도 창원시 성산구 용지로169번길 11-26 (용호동),35.2297216,128.680144,N,N,N,N,N,N,N,N,N,N,"
            "
여행자극장,FC001529,1,민간(대학로),2016,100,070-7918-9077,https://yohangzatheatre.modoo.at/,서울특별시 성북구 성북로5길 9-3 (성북동1가),37.5889086,127.00463660000003,N,N,N,N,N,N,N,N,N,N,"
            "
효로인디아트홀,FC003588,1,민간(대학로 외),2023,104, ,https://hyorotheater.modoo.at/,부산광역시 연제구 연수로235번길 7 (연산동),35.173760,129.096480,N,N,N,N,N,N,N,N,N,N,"
            "
강동아트센터,FC000028,5,공공(문예회관),2011,3240,02-440-0500,https://www.gangdongarts.or.kr/,서울특별시 강동구 동남로 870 (상일동),37.5512621,127.15761910000003,N,Y,N,Y,N,Y,Y,Y,Y,Y,"
            "
연극실험실 혜화동1번지,FC001141,1,민간(대학로),1993,70,010-8946-4164,https://www.facebook.com/hhdlab,서울특별시 종로구 창경궁로35길 7 (혜화동),37.586337,127.00133069999992,N,N,N,N,N,N,N,N,N,N,"
            "
거창문화센터,FC000879,2,공공(문예회관),2001,886,055-940-8460,http://www.gccf.or.kr/bbs/page.php?hid=D_1_2,경상남도 거창군 수남로 2181 거창군교육문화센터,35.6742953691642,127.910316706376,N,N,N,N,N,Y,Y,Y,N,Y,"
            "
전북대학교 삼성문화회관,FC000469,2,공공(기타),1998,1717,063-270-2089,https://cnucc.jbnu.ac.kr/,전라북도 전주시 덕진구 백제대로 567 (금암동),35.8469207,127.13936869999998,Y,Y,Y,N,N,Y,N,Y,N,Y,"
            "
해봄연습실,FC003384,1,민간(대학로 외), ,0, , ,서울특별시 관악구 관천로 58(신림동),37.4845757,126.9260978,N,N,N,N,N,N,N,N,N,N,"
            "
베리어스 재즈클럽,FC002030,1,민간(대학로 외),2018,250,010-7145-6672,https://variousconcerthall.modoo.at/,대구광역시 수성구 달구벌대로 2881 (연호동),35.8459419,128.6737892,Y,Y,N,N,N,Y,Y,N,N,Y,"
            "
